13	from	from	IN	O	from	pcomp	12	16	['P1,250 2074 328 2103']
14	Cenomanian	Cenomanian	NNP	MISC	Cenomanian	pobj	13	16	['P1,344 2075 559 2104']
15	to	to	TO	O	to	aux	16	16	['P1,576 2080 606 2104']
16	lower	lower	VB	O	lower	xcomp	11	16	['P1,623 2075 717 2104']
17	Turonian	Turonian	JJ	MISC	turonian	amod	18	16	['P1,732 2076 886 2104']
18	(	(	NN	O	(	dobj	16	16	['P1,902 2074 1017 2110']
19	Shafik	Shafik	NNP	PERSON	Shafik	amod	18	16	['P1,902 2074 1017 2110']
20	1990	1990	CD	DATE	1990	num	19	16	['P1,156 2121 240 2155']
21	)	}	CD	NUMBER	)	dep	19	16	['P1,156 2121 240 2155']
22	to	to	TO	O	to	aux	24	16	['P1,258 2125 288 2149']
23	possibly	possibly	RB	O	possibly	advmod	24	16	['P1,305 2120 445 2159']
24	Santonian	Santonian	VB	O	santonian	infmod	21	16	['P1,462 2121 630 2150']
25	(	(	CD	NUMBER	(	num	26	16	['P1,649 2121 808 2156']
26	McWhae	McWhae	NNP	O	McWhae	dobj	24	16	['P1,649 2121 808 2156']
27	et	et	FW	O	et	nn	28	16	['P1,824 2124 850 2149']
28	al.	al.	FW	O	al.	dep	11	16	['P1,867 2121 901 2149']
29	1958	1958	CD	DATE	1958	num	30	16	['P1,923 2121 1016 2156']
30	)	)	CD	NUMBER	)	dep	28	16	['P1,923 2121 1016 2156']
31	.	.	.	O	.	_	0	16	['P1,923 2121 1016 2156']

1	To	To	TO	O	to	aux	2	17	['P1,154 2167 199 2194']
2	date	date	VB	O	date	csubjpass	8	17	['P1,227 2166 305 2194']
3	the	the	DT	O	the	det	6	17	['P1,332 2166 389 2194']
4	only	only	JJ	O	only	amod	6	17	['P1,416 2167 498 2205']
5	other	other	JJ	O	other	amod	6	17	['P1,526 2167 624 2195']
6	vertebrate	vertebrate	NN	O	vertebrate	dobj	2	17	['P1,652 2167 842 2195']
7	remains	remains	VBZ	O	remain	auxpass	8	17	['P1,870 2167 1017 2195']
8	recovered	recovered	VBN	O	recover	_	0	17	['P1,156 2212 336 2240']
9	from	from	IN	O	from	_	0	17	['P1,363 2212 450 2240']
10	the	the	DT	O	the	det	12	17	['P1,477 2212 532 2240']
11	Molecap	Molecap	NNP	O	Molecap	nn	12	17	['P1,557 2212 714 2251']
12	Greensand	Greensand	NNP	O	Greensand	nsubj	17	17	['P1,740 2212 938 2240']
13	are	are	VBP	O	be	cop	17	17	['P1,964 2221 1018 2240']
14	chondrichthyan	chondrichthyan	JJ	O	chondrichthyan	amod	17	17	['P1,155 2257 420 2295']
15	and	and	CC	O	and	_	0	17	['P1,439 2258 502 2286']
16	teleost	teleost	JJ	O	teleost	conj_and	14	17	['P1,521 2258 629 2286']
17	teeth	teeth	NNS	O	tooth	prepc_from	8	17	['P1,648 2258 737 2291']
18	,	,	,	O	,	_	0	17	['P1,648 2258 737 2291']
19	three	three	CD	NUMBER	three	num	22	17	['P1,757 2258 840 2286']
20	mosasaur	mosasaur	NN	O	mosasaur	nn	22	17	['P1,859 2267 1018 2286']
21	paddle	paddle	NN	O	paddle	nn	22	17	['P1,156 2303 271 2342']
22	bones	bones	NNS	O	bone	appos	17	17	['P1,293 2303 391 2332']
23	(	(	CD	NUMBER	(	num	24	17	['P1,415 2303 598 2338']
24	Lundelius	Lundelius	NNP	PERSON	Lundelius	dep	22	17	['P1,415 2303 598 2338']
25	and	and	CC	O	and	_	0	17	['P1,621 2303 683 2332']
26	Warne	Warne	NNP	PERSON	Warne	prepc_from	8	17	['P1,704 2304 816 2332']
27	1960	1960	CD	DATE	1960	num	26	17	['P1,840 2304 933 2338']
28	)	)	CD	NUMBER	)	dep	26	17	['P1,840 2304 933 2338']
29	,	,	,	O	,	_	0	17	['P1,840 2304 933 2338']
30	and	and	CC	O	and	_	0	17	['P1,955 2303 1018 2332']
31	isolated	isolated	VBN	O	isolate	amod	32	17	['P1,157 2348 290 2377']
32	plesiosaur	plesiosaur	NN	O	plesiosaur	prepc_from	8	17	['P1,314 2349 495 2388']
33	and	and	CC	O	and	_	0	17	['P1,518 2349 581 2378']
34	ichthyosaur	ichthyosaur	NN	O	ichthyosaur	nn	35	17	['P1,605 2349 811 2388']
35	bones	bnnes	NNS	O	bone	dep	38	17	['P1,832 2349 932 2378']
36	and	and	CC	O	and	_	0	17	['P1,955 2349 1018 2377']
37	teeth	teeth	NNS	O	tooth	dep	38	17	['P1,158 2394 238 2423']
38	(	(	CD	NUMBER	(	conj_and	17	17	['P1,250 2395 450 2429']
39	McNamara	McNamara	NNP	PERSON	McNamara	dep	38	17	['P1,250 2395 450 2429']
40	et	et	FW	O	et	nn	41	17	['P1,463 2398 489 2423']
41	al.	al.	FW	O	al.	dep	38	17	['P1,500 2394 534 2423']
42	1993	1993	CD	DATE	1993	dep	41	17	['P1,549 2396 632 2428']
43	;	;	:	O	;	_	0	17	['P1,549 2396 632 2428']
44	Long	Long	NNP	O	Long	dep	41	17	['P1,646 2396 731 2434']
45	1993	1993	CD	DATE	1993	num	44	17	['P1,744 2396 836 2430']
46	)	)	CD	NUMBER	)	dep	44	17	['P1,744 2396 836 2430']
47	.	.	.	O	.	_	0	17	['P1,744 2396 836 2430']

1	The	The	DT	O	the	det	4	18	['P1,189 2441 252 2469']
2	only	only	JJ	O	only	amod	4	18	['P1,275 2441 351 2479']
3	other	other	JJ	O	other	amod	4	18	['P1,375 2441 465 2469']
4	bones	bones	NNS	O	bone	nsubj	12	18	['P1,488 2442 588 2470']
5	of	of	IN	O	of	_	0	18	['P1,613 2441 646 2470']
6	theropod	theropod	JJ	O	theropod	amod	7	18	['P1,669 2441 826 2480']
7	dinosaurs	dinosaurs	NNS	O	dinosaur	prep_of	4	18	['P1,851 2441 1020 2470']
8	described	described	VBN	O	describe	partmod	7	18	['P1,158 2487 337 2515']
9	from	from	IN	O	from	_	0	18	['P1,369 2487 458 2515']
10	Australia	Australia	NNP	LOCATION	Australia	prep_from	8	18	['P1,489 2487 664 2515']
11	are	are	VBP	O	be	cop	12	18	['P1,697 2497 752 2515']
12	all	all	DT	O	all	_	0	18	['P1,783 2487 827 2515']
13	of	nf	IN	O	of	_	0	18	['P1,858 2487 893 2515']
14	Early	Early	JJ	O	early	amod	16	18	['P1,923 2486 1020 2524']
15	Cretaceous	Cretaceous	JJ	O	cretaceous	amod	16	18	['P1,158 2533 341 2561']
16	age	age	NN	O	age	prep_of	12	18	['P1,363 2542 428 2571']
17	.	.	.	O	.	_	0	18	['P1,363 2542 428 2571']

1	An	An	DT	O	a	det	4	19	['P1,449 2534 499 2560']
