            boundstone           boundstone ['P1,990 1491 1153 1520']
                     ,                    , ['P1,990 1491 1153 1520']
                   and                  and ['P1,1169 1489 1216 1514']
        recrystallized       recrystallized ['P1,1229 1484 1412 1519']
             limestone            limestone ['P1,1426 1484 1563 1509']
                     .                    . ['P1,1426 1484 1563 1509']
                Corals               Corals ['P1,1579 1480 1665 1507']
                   and                  and ['P1,1679 1479 1727 1506']
               sponges              sponges ['P1,1741 1485 1848 1511']
                    in                   in ['P1,1862 1477 1888 1502']
             limestone            limestone ['P1,422 1543 550 1567']
                    in                   in ['P1,559 1541 585 1565']
                   the                  the ['P1,593 1540 634 1565']
                 lower                lower ['P1,644 1539 720 1564']
                  part                 part ['P1,728 1543 780 1570']
                    of                   of ['P1,789 1537 820 1562']
                   the                  the ['P1,825 1537 865 1561']
               section              section ['P1,876 1535 970 1561']
              indicate             indicate ['P1,979 1534 1083 1559']
                     a                    a ['P1,1093 1541 1108 1558']
                  Late                 Late ['P1,1117 1533 1174 1557']
              Triassic             Triassic ['P1,1185 1530 1288 1556']
                   age                  age ['P1,1299 1536 1351 1560']
                     ,                    , ['P1,1299 1536 1351 1560']
                   and                  and ['P1,1363 1527 1410 1553']
             ammonoids            ammonoids ['P1,1420 1525 1573 1552']
                    in                   in ['P1,1585 1524 1608 1549']
                   the                  the ['P1,1618 1524 1658 1548']
                  more                 more ['P1,1668 1530 1735 1547']
                 silty                silty ['P1,1746 1521 1802 1552']
                 upper                upper ['P1,1811 1527 1888 1552']
                  part                 part ['P1,421 1587 473 1616']
                    of                   of ['P1,483 1583 512 1608']
                   the                  the ['P1,517 1583 558 1607']
               section              section ['P1,567 1581 661 1607']
                   are                  are ['P1,670 1588 709 1605']
            considered           considered ['P1,718 1578 863 1604']
                    to                   to ['P1,870 1581 896 1602']
                    be                   be ['P1,904 1577 936 1602']
                 Early                Early ['P1,945 1576 1016 1607']
              Jurassic             Jurassic ['P1,1025 1575 1130 1600']
                    in                   in ['P1,1140 1574 1164 1598']
                   age                  age ['P1,1174 1580 1225 1604']
                     .                    . ['P1,1174 1580 1225 1604']
                   The                  The ['P1,522 1624 573 1649']
            relatively           relatively ['P1,583 1622 709 1653']
            deep-water           deep-water ['P1,719 1621 867 1652']
          depositional         depositional ['P1,875 1617 1037 1650']
           environment          environment ['P1,1048 1616 1215 1641']
                    of                   of ['P1,1225 1613 1255 1638']
                   the                  the ['P1,1261 1613 1301 1637']
                 Lower                Lower ['P1,1311 1613 1398 1637']
                    or                   or ['P1,1408 1618 1435 1635']
                Middle               Middle ['P1,1444 1608 1539 1634']
               Permian              Permian ['P1,1549 1607 1660 1633']
         siliciclastic        siliciclastic ['P1,1671 1604 1818 1630']
X               strata              stra-ta ['P1,1829 1607 1887 1628', 'P1,423 1671 447 1692']
                    of                   of ['P1,461 1666 491 1691']
                  unit                 unit ['P1,501 1666 554 1690']
                     7                    7 ['P1,568 1666 582 1690']
                 marks                marks ['P1,597 1664 678 1689']
                     a                    a ['P1,692 1671 707 1688']
              distinct             distinct ['P1,720 1662 820 1688']
                change               change ['P1,833 1661 929 1692']
                  from                 from ['P1,942 1659 1007 1684']
                   the                  the ['P1,1021 1658 1062 1683']
            underlying           underlying ['P1,1075 1656 1222 1688']
               shallow              shallow ['P1,1237 1654 1429 1680']
X                    ?                    - ['P1,1237 1654 1429 1680']
                 water                water ['P1,1237 1654 1429 1680']
          depositional         depositional ['P1,1442 1649 1608 1682']
           environment          environment ['P1,1623 1648 1794 1673']
                    of                   of ['P1,1807 1645 1838 1670']
                   the                  the ['P1,1848 1644 1888 1669']
         Mississippian        Mississippian ['P1,424 1707 606 1739']
                    to                   to ['P1,615 1710 640 1731']
                 Lower                Lower ['P1,650 1706 737 1730']
               Permian              Permian ['P1,745 1703 856 1728']
                strata               strata ['P1,865 1705 936 1727']
                    of                   of ['P1,945 1701 976 1726']
                 units                units ['P1,981 1700 1045 1725']
X                    1                    I ['P1,1059 1700 1067 1724']
                    to                   to ['P1,1080 1703 1104 1724']
                     6                    6 ['P1,1115 1699 1137 1723']
                     .                    . ['P1,1115 1699 1137 1723']
          Tectonically         Tectonically ['P1,1148 1695 1313 1727']
                  this                 this ['P1,1323 1694 1370 1719']
                change               change ['P1,1380 1693 1472 1724']
                   can                  can ['P1,1483 1700 1528 1717']
                    be                   be ['P1,1537 1691 1567 1716']
           interpreted          interpreted ['P1,1578 1689 1721 1721']
                either               either ['P1,1731 1688 1806 1713']
                    as                   as ['P1,1815 1694 1841 1711']
                     (                    ( ['P1,1851 1686 1888 1717']
                     I                    I ['P1,1851 1686 1888 1717']
                     )                    ) ['P1,1851 1686 1888 1717']
                   the                  the ['P1,424 1750 464 1775']
           development          development ['P1,475 1749 646 1780']
                    of                   of ['P1,656 1747 686 1772']
                     a                    a ['P1,693 1755 707 1771']
              foreland             foreland ['P1,717 1745 828 1771']
                 basin                basin ['P1,836 1744 907 1769']
                    in                   in ['P1,917 1743 942 1768']
              response             response ['P1,951 1749 1068 1774']
                    to                   to ['P1,1077 1745 1103 1766']
                     a                    a ['P1,1113 1748 1127 1765']
            subduction           subduction ['P1,1138 1738 1283 1765']
                system               system ['P1,1294 1740 1385 1768']
                    to                   to ['P1,1395 1739 1419 1760']
                   the                  the ['P1,1430 1735 1469 1759']
                 south                south ['P1,1481 1733 1559 1763']
                     ;                    ; ['P1,1481 1733 1559 1763']
                    or                   or ['P1,1571 1740 1598 1757']
                     (                    ( ['P1,1609 1732 1645 1763']
                     2                    2 ['P1,1609 1732 1645 1763']
                     )                    ) ['P1,1609 1732 1645 1763']
           development          development ['P1,1657 1730 1828 1761']
                    of                   of ['P1,1837 1727 1868 1753']
                     a                    a ['P1,1874 1735 1890 1752']
                 basin                basin ['P1,424 1792 494 1818']
                during               during ['P1,506 1791 591 1822']
         fragmentation        fragmentation ['P1,602 1788 789 1821']
                    of                   of ['P1,798 1787 829 1812']
                   the                  the ['P1,835 1787 876 1811']
           continental          continental ['P1,887 1784 1033 1811']
                margin               margin ['P1,1044 1783 1138 1815']
                    by                   by ['P1,1149 1782 1181 1813']
           strike-slip          strike-slip ['P1,1193 1779 1324 1811']
                   and                  and ['P1,1336 1778 1383 1803']
        transtensional       transtensional ['P1,1393 1774 1577 1802']
              faulting             faulting ['P1,1589 1773 1691 1804']
                    in                   in ['P1,1703 1772 1727 1797']
                    an                   an ['P1,1739 1779 1769 1797']
              unstable             unstable ['P1,1779 1769 1889 1796']
           continental          continental ['P1,426 1833 572 1859']
            borderland           borderland ['P1,580 1831 732 1857']
                     .                    . ['P1,580 1831 732 1857']
                 Upper                Upper ['P1,525 1876 609 1906']
              Triassic             Triassic ['P1,620 1873 724 1898']
                 rocks                rocks ['P1,735 1872 807 1896']
                    in                   in ['P1,819 1871 844 1895']
                Sierra               Sierra ['P1,856 1870 935 1895']
                 Santa                Santa ['P1,946 1869 1019 1893']
                Teresa               Teresa ['P1,1030 1869 1118 1891']
                  have                 have ['P1,1129 1867 1191 1890']
                  been                 been ['P1,1202 1865 1265 1889']
           interpreted          interpreted ['P1,1277 1861 1420 1894']
                either               either ['P1,1432 1860 1507 1885']
                    as                   as ['P1,1518 1866 1544 1884']
                     (                    ( ['P1,1556 1859 1593 1889']
                     1                    1 ['P1,1556 1859 1593 1889']
                     )                    ) ['P1,1556 1859 1593 1889']
                    an                   an ['P1,1606 1865 1636 1882']
         allochthonous        allochthonous ['P1,1648 1856 1833 1882']
X              terrane             ter-rane ['P1,1844 1857 1890 1878', 'P1,426 1926 483 1943']
             unrelated            unrelated ['P1,495 1916 619 1942']
                    to                   to ['P1,630 1920 655 1940']
               largely              largely ['P1,668 1914 760 1945']
             nonmarine            nonmarine ['P1,771 1912 913 1938']
                strata               strata ['P1,926 1915 997 1935']
                    of                   of ['P1,1009 1910 1039 1934']
                   the                  the ['P1,1047 1910 1088 1934']
                 Upper                Upper ['P1,1100 1910 1183 1939']
              Triassic             Triassic ['P1,1194 1906 1298 1931']
                   and                  and ['P1,1312 1905 1359 1929']
                 Lower                Lower ['P1,1371 1905 1457 1928']
              Jurassic             Jurassic ['P1,1469 1901 1572 1926']
              Barranca             Barranca ['P1,1586 1902 1706 1924']
                 Group                Group ['P1,1718 1899 1801 1928']
                    to                   to ['P1,1813 1900 1838 1921']
                   the                  the ['P1,1850 1896 1891 1920']
                  east                 east ['P1,428 1964 479 1985']
                    in                   in ['P1,490 1960 515 1984']
                  east                 east ['P1,526 1957 679 1983']
X                    ?                    - ['P1,526 1957 679 1983']
               central              central ['P1,526 1957 679 1983']
                Sonora               Sonora ['P1,691 1958 792 1985']
                     ;                    ; ['P1,691 1958 792 1985']
                    or                   or ['P1,804 1963 832 1979']
                     (                    ( ['P1,843 1955 880 1985']
                     2                    2 ['P1,843 1955 880 1985']
                     )                    ) ['P1,843 1955 880 1985']
                     a                    a ['P1,892 1962 907 1978']
                facies               facies ['P1,918 1953 995 1977']
                    of                   of ['P1,1006 1952 1037 1976']
                 Upper                Upper ['P1,1044 1953 1127 1982']
              Triassic             Triassic ['P1,1139 1949 1242 1974']
                 rocks                rocks ['P1,1254 1948 1325 1972']
          intermediate         intermediate ['P1,1338 1945 1503 1970']
               between              between ['P1,1514 1944 1625 1968']
                   the                  the ['P1,1637 1941 1676 1965']
               largely              largely ['P1,1688 1940 1779 1971']
X            nonmarine           nonma-rine ['P1,1791 1945 1891 1963', 'P1,428 2003 478 2027']
              Barranca             Barranca ['P1,491 2003 610 2026']
                 Group                Group ['P1,622 2001 706 2030']
                    to                   to ['P1,717 2002 743 2023']
                   the                  the ['P1,754 1998 795 2022']
                  east                 east ['P1,807 2001 858 2021']
                   and                  and ['P1,870 1996 918 2021']
                marine               marine ['P1,928 1994 1021 2019']
                strata               strata ['P1,1033 1997 1104 2018']
                    of                   of ['P1,1116 1993 1146 2017']
                   the                  the ['P1,1154 1992 1194 2016']
             Antimonio            Antimonio ['P1,1206 1989 1349 2015']
             Formation            Formation ['P1,1362 1987 1499 2012']
                    to                   to ['P1,1511 1989 1536 2009']
                   the                  the ['P1,1548 1985 1588 2009']
             northwest            northwest ['P1,1600 1983 1731 2008']
                    in                   in ['P1,1744 1982 1768 2006']
X              northem             northern ['P1,1780 1980 1893 2005']
                Sonora               Sonora ['P1,430 2046 529 2069']
                     .                    . ['P1,430 2046 529 2069']
              Keywords             Keywords ['P1,347 2137 494 2171']
                     :                    : ['P1,347 2137 494 2171']
          Stratigraphy         Stratigraphy ['P1,511 2135 686 2168']
                     ,                    , ['P1,511 2135 686 2168']
         Mississippian        Mississippian ['P1,701 2131 897 2165']
                     ,                    , ['P1,701 2131 897 2165']
         Pennsylvanian        Pennsylvanian ['P1,911 2128 1118 2162']
                     ,                    , ['P1,911 2128 1118 2162']
               Permian              Permian ['P1,1133 2126 1254 2156']
                     ,                    , ['P1,1133 2126 1254 2156']
              Triassic             Triassic ['P1,1269 2123 1385 2153']
