                     ,                    , ['P1,1024 2392 1202 2431']
             Mongolian            Mongolian ['P1,1222 2392 1429 2433']
               Academy              Academy ['P1,1447 2393 1630 2433']
                    of                   of ['P1,1648 2393 1686 2425']
                 Scien                Scien ['P1,1706 2393 1828 2424']
X                    ?                    - ['P1,1706 2393 1828 2424']
                   ces                  ces ['P1,327 2455 395 2484']
                     ,                    , ['P1,327 2455 395 2484']
                    in                   in ['P1,419 2447 455 2477']
                  Ulan                 Ulan ['P1,475 2446 568 2478']
                 Bator                Bator ['P1,590 2447 698 2478']
                     (                    ( ['P1,721 2445 966 2485']
           abbreviated          abbreviated ['P1,721 2445 966 2485']
                    as                   as ['P1,988 2455 1024 2477']
                   GIN                  GIN ['P1,1047 2446 1154 2485']
                     )                    ) ['P1,1047 2446 1154 2485']
                     .                    . ['P1,1047 2446 1154 2485']
           DESCRIPTION          DESCRIPTION ['P1,945 2560 1207 2586']
X           lnfraorder           Infraorder ['P1,797 2661 1001 2692']
           Segnosauria          Segnosauria ['P1,1022 2661 1259 2697']
                  nov.                 nov. ['P1,1280 2671 1359 2692']
.                    .                      ['P1,1280 2671 1359 2692']
X                 Dejz                 Defi ['P1,399 2766 767 2796']
X                    '                    n ['P1,399 2766 767 2796']
X                 nit2                 itio ['P1,399 2766 767 2796']
X                    '                    n ['P1,399 2766 767 2796']
X                    o                    . ['P1,399 2766 767 2796']
X                    '                    ? ['P1,399 2766 767 2796']
X                   n.                   ?? ['P1,399 2766 767 2796']
X                    .                    M ['P1,399 2766 767 2796']
X                    ?                    e ['P1,399 2766 767 2796']
X                    .                    d ['P1,399 2766 767 2796']
X               Medium                  ium ['P1,399 2766 767 2796']
                    to                   to ['P1,790 2767 819 2792']
X                1arge                large ['P1,840 2766 1022 2797']
X                    ?                    - ['P1,840 2766 1022 2797']
                 sized                sized ['P1,840 2766 1022 2797']
             theropods            theropods ['P1,1045 2766 1210 2797']
                  with                 with ['P1,1230 2767 1305 2792']
                     a                    a ['P1,1328 2774 1344 2792']
         comparatively        comparatively ['P1,1366 2767 1606 2798']
                 small                small ['P1,1629 2767 1719 2793']
                 skull                skull ['P1,1739 2767 1830 2793']
                     .                    . ['P1,1739 2767 1830 2793']
                  Jaws                 Jaws ['P1,328 2810 411 2835']
            edentulous           edentulous ['P1,433 2810 614 2836']
            anteriorly           anteriorly ['P1,637 2810 812 2842']
                     ,                    , ['P1,637 2810 812 2842']
              provided             provided ['P1,834 2809 982 2841']
                during               during ['P1,1005 2809 1116 2840']
                  life                 life ['P1,1138 2809 1192 2836']
X                 with                wiith ['P1,1213 2810 1290 2836']
                     a                    a ['P1,1313 2817 1331 2837']
                 horny                horny ['P1,1352 2810 1450 2842']
                  beak                 beak ['P1,1473 2810 1561 2837']
                     .                    . ['P1,1473 2810 1561 2837']
X                    ?                    " ['P1,1584 2811 1723 2837']
                 Cheek                Cheek ['P1,1584 2811 1723 2837']
X                    ?                    " ['P1,1584 2811 1723 2837']
                 teeth                teeth ['P1,1746 2812 1829 2837']
                 small                small ['P1,328 2854 427 2881']
                     .                    . ['P1,328 2854 427 2881']
              Cervical             Cervical ['P1,448 2854 588 2880']
             vertebrae            vertebrae ['P1,608 2854 769 2880']
                 large                large ['P1,790 2854 883 2886']
                     ,                    , ['P1,790 2854 883 2886']
             elongated            elongated ['P1,903 2854 1073 2885']
                     .                    . ['P1,903 2854 1073 2885']
                Pelvis               Pelvis ['P1,1094 2854 1196 2880']
          opisthopubic         opisthopubic ['P1,1218 2855 1440 2887']
                     ,                    , ['P1,1218 2855 1440 2887']
            alti-iliac           alti-iliac ['P1,1462 2854 1606 2881']
                     (                    ( ['P1,1629 2855 1690 2884']
