                  Foxe                 Foxe ['P1,1223 1524 1391 1585']
                Basins               Basins ['P1,1418 1523 1662 1595']
                     ,                    , ['P1,1418 1523 1662 1595']
                   and                  and ['P1,1695 1520 1819 1585']
                   the                  the ['P1,1846 1521 1951 1583']
                  Foxe                 Foxe ['P1,1977 1522 2145 1583']
        Channel-Hudson       Channel-Hudson ['P1,118 1618 722 1678']
                Strait               Strait ['P1,758 1618 945 1678']
                graben               graben ['P1,982 1620 1218 1693']
                system               system ['P1,1257 1628 1507 1694']
                     .                    . ['P1,1257 1628 1507 1694']
               However              However ['P1,1549 1622 1882 1690']
                     ,                    , ['P1,1549 1622 1882 1690']
X             Devonian            Devo-nian ['P1,1924 1620 2145 1678', 'P1,120 1713 268 1773']
                strata               strata ['P1,291 1722 484 1773']
                 occur                occur ['P1,505 1730 694 1775']
                    in                   in ['P1,717 1713 782 1773']
                  only                 only ['P1,803 1714 955 1788']
                   the                  the ['P1,974 1715 1081 1775']
                Hudson               Hudson ['P1,1104 1715 1379 1775']
                   Bay                  Bay ['P1,1402 1716 1534 1789']
                   and                  and ['P1,1557 1715 1684 1775']
                 Moose                Moose ['P1,1708 1714 1937 1775']
                 River                River ['P1,1962 1713 2147 1773']
X               Basins               8as1ns ['P1,120 1808 358 1869']
                     .                    . ['P1,120 1808 358 1869']
                Unlike               Unlike ['P1,254 1902 482 1964']
                   the                  the ['P1,520 1904 625 1964']
                 other                other ['P1,664 1904 843 1966']
              segments             segments ['P1,884 1913 1193 1979']
                    of                   of ['P1,1235 1905 1311 1966']
                   the                  the ['P1,1343 1905 1450 1966']
                Hudson               Hudson ['P1,1490 1904 1764 1966']
              Platform             Platform ['P1,1805 1903 2141 1976']
                     ,                    , ['P1,1805 1903 2141 1976']
                 which                which ['P1,120 2000 321 2060']
                   are                  are ['P1,348 2019 451 2060']
                mostly               mostly ['P1,477 2001 708 2073']
               covered              covered ['P1,733 2002 998 2062']
                    by                   by ['P1,1025 2001 1108 2075']
                   the                  the ['P1,1133 2003 1240 2062']
                waters               waters ['P1,1265 2011 1485 2062']
                    of                   of ['P1,1514 2003 1591 2062']
                Hudson               Hudson ['P1,1614 2003 1890 2062']
                   Bay                  Bay ['P1,1915 2003 2049 2074']
                    or                   or ['P1,2075 2019 2147 2062']
                  Foxe                 Foxe ['P1,120 2097 286 2156']
               Channel              Channel ['P1,308 2096 592 2158']
                   and                  and ['P1,615 2096 741 2158']
                Hudson               Hudson ['P1,764 2096 1038 2158']
                Strait               Strait ['P1,1060 2096 1271 2167']
                     ,                    , ['P1,1060 2096 1271 2167']
                   the                  the ['P1,1296 2097 1403 2158']
                 Moose                Moose ['P1,1424 2099 1656 2158']
                 River                River ['P1,1679 2098 1862 2158']
                 Basin                Basin ['P1,1885 2096 2076 2158']
                    is                   is ['P1,2097 2096 2147 2158']
              confined             confined ['P1,118 2192 417 2252']
               largely              largely ['P1,436 2193 669 2267']
                    to                   to ['P1,685 2203 755 2252']
               onshore              onshore ['P1,776 2195 1051 2254']
X                areas               area,s ['P1,1072 2213 1248 2254']
X           underlying           underIying ['P1,1267 2195 1638 2267']
                   the                  the ['P1,1657 2195 1762 2254']
                 James                James ['P1,1783 2195 1994 2254']
                   Bay                  Bay ['P1,2017 2195 2149 2267']
               Lowland              Lowland ['P1,122 2288 423 2350']
                    in                   in ['P1,448 2288 512 2348']
          northeastern         northeastern ['P1,536 2289 971 2350']
               Ontario              Ontario ['P1,996 2289 1264 2350']
                     (                    ( ['P1,1292 2290 1448 2363']
                   Fig                  Fig ['P1,1292 2290 1448 2363']
                     .                    . ['P1,1292 2290 1448 2363']
                     1                    1 ['P1,1479 2289 1548 2363']
                     )                    ) ['P1,1479 2289 1548 2363']
                     .                    . ['P1,1479 2289 1548 2363']
                     A                    A ['P1,1577 2291 1639 2350']
                 small                small ['P1,1663 2288 1843 2352']
               segment              segment ['P1,1867 2295 2147 2363']
                    of                   of ['P1,120 2383 197 2444']
                   the                  the ['P1,216 2383 321 2444']
                 basin                basin ['P1,344 2382 525 2444']
               extends              extends ['P1,548 2384 804 2446']
                  into                 into ['P1,827 2384 963 2444']
                   the                  the ['P1,988 2383 1093 2446']
             adjoining            adjoining ['P1,1117 2383 1446 2459']
                  area                 area ['P1,1473 2401 1619 2446']
                    of                   of ['P1,1642 2385 1719 2446']
                Quebec               Quebec ['P1,1738 2383 1996 2459']
                   and                  and ['P1,2021 2384 2147 2444']
               beneath              beneath ['P1,120 2480 388 2540']
                   the                  the ['P1,407 2480 513 2540']
                waters               waters ['P1,532 2489 753 2542']
                    of                   of ['P1,776 2482 851 2542']
                 James                James ['P1,870 2483 1079 2542']
                   Bay                  Bay ['P1,1102 2483 1256 2555']
                     .                    . ['P1,1102 2483 1256 2555']
                   The                  The ['P1,255 2574 388 2635']
X                Moose                MOOSe ['P1,430 2576 659 2635']
X                River                R1ver ['P1,703 2574 887 2636']
                 Basin                Basin ['P1,931 2574 1120 2636']
X            underlies            underlieS ['P1,1164 2574 1474 2636']
                    an                   an ['P1,1520 2592 1601 2637']
                  area                 area ['P1,1645 2592 1792 2637']
X                   of                   Of ['P1,1834 2575 1910 2635']
                 about                about ['P1,1950 2575 2149 2635']
X              100,000              j00,000 ['P1,128 2672 378 2742']
X                  km2                  km~ ['P1,403 2670 545 2731']
                   and                  and ['P1,568 2671 694 2731']
                    is                   is ['P1,719 2671 769 2733']
               bounded              bounded ['P1,793 2672 1097 2733']
         approximately        approximately ['P1,1121 2672 1623 2747']
                    by                   by ['P1,1645 2673 1729 2746']
             latitudes            latitudes ['P1,1752 2671 2043 2733']
                    50                   50 ['P1,2072 2672 2149 2731']
                    05                   05 ['P1,120 2768 219 2827']
X                    ?                    ' ['P1,120 2768 219 2827']
                   and                  and ['P1,248 2767 370 2827']
                    52                   52 ['P1,395 2768 470 2829']
                    30                   30 ['P1,493 2768 590 2829']
X                    ?                    ' ['P1,493 2768 590 2829']
                 North                North ['P1,617 2769 824 2829']
                   and                  and ['P1,846 2768 973 2829']
            longitudes           longitudes ['P1,996 2768 1350 2842']
                    78                   78 ['P1,1373 2770 1450 2829']
                    50                   50 ['P1,1475 2770 1574 2829']
X                    ?                    ' ['P1,1475 2770 1574 2829']
                   and                  and ['P1,1600 2768 1727 2831']
                    84                   84 ['P1,1750 2768 1827 2831']
                    45                   45 ['P1,1848 2768 1949 2829']
X                    ?                    ' ['P1,1848 2768 1949 2829']
X                 West                 %est ['P1,1975 2770 2147 2829']
                     (                    ( ['P1,124 2862 278 2937']
                   Fig                  Fig ['P1,124 2862 278 2937']
                     .                    . ['P1,124 2862 278 2937']
                     1                    1 ['P1,305 2864 374 2937']
                     )                    ) ['P1,305 2864 374 2937']
                     .                    . ['P1,305 2864 374 2937']
                  Most                 Most ['P1,399 2864 574 2923']
                    of                   of ['P1,597 2862 673 2923']
                   the                  the ['P1,689 2863 794 2925']
               onshore              onshore ['P1,813 2864 1089 2925']
               portion              portion ['P1,1110 2864 1367 2938']
                    of                   of ['P1,1388 2865 1466 2925']
                   the                  the ['P1,1483 2864 1588 2925']
                 basin                basin ['P1,1608 2864 1790 2925']
                    is                   is ['P1,1809 2862 1860 2923']
X        characterized       charac-terized ['P1,1881 2862 2149 2923', 'P1,120 2958 348 3021']
                    by                   by ['P1,383 2959 468 3035']
                     a                    a ['P1,503 2976 541 3021']
                  very                 very ['P1,573 2978 722 3034']
X                  ?at                  fla ['P1,758 2960 894 3033']
