X        l'?chinofaune        I'6chinofaune ['P1,82 1721 309 1751']
              comprend             comprend ['P1,322 1720 492 1758']
                 trois                trois ['P1,506 1720 583 1750']
               especes              especes ['P1,598 1721 726 1757']
X          d'?chinides          d'echinides ['P1,741 1719 930 1749']
X            r?guliers            reguliers ['P1,944 1719 1106 1757']
                     ,                    , ['P1,944 1719 1106 1757']
                  cinq                 cinq ['P1,1119 1719 1191 1756']
X        holast?roides        holast6roldes ['P1,1202 1718 1429 1749']
                    et                   et ['P1,1444 1721 1476 1749']
                  deux                 deux ['P1,1489 1718 1571 1748']
          spatangoides         spatangoides ['P1,1584 1718 1816 1756']
                     .                    . ['P1,1584 1718 1816 1756']
                   Les                  Les ['P1,1831 1718 1889 1748']
                    10                   10 ['P1,1906 1719 1942 1748']
               especes              especes ['P1,1956 1719 2082 1755']
                  sont                 sont ['P1,83 1766 154 1793']
X            r?parties            reparties ['P1,166 1763 321 1800']
                 entre                entre ['P1,335 1765 426 1792']
                    le                   le ['P1,439 1762 468 1792']
             Santonien            Santonien ['P1,482 1762 659 1792']
                    et                   et ['P1,672 1764 704 1792']
                    le                   le ['P1,717 1762 746 1792']
         Maastrichtien        Maastrichtien ['P1,759 1761 1004 1791']
X            inf?rieur            inferieur ['P1,1017 1761 1173 1797']
                     ,                    , ['P1,1017 1761 1173 1797']
                   les                  les ['P1,1186 1761 1231 1791']
          associations         associations ['P1,1246 1761 1451 1791']
                   les                  les ['P1,1464 1760 1510 1790']
                  plus                 plus ['P1,1524 1760 1595 1798']
                riches               riches ['P1,1608 1760 1711 1790']
X                ?tant                etant ['P1,1725 1761 1815 1790']
X           localis?es           localisees ['P1,1827 1760 1988 1790']
                  dans                 dans ['P1,2002 1760 2082 1790']
                   les                  les ['P1,82 1806 128 1836']
               niveaux              niveaux ['P1,142 1806 279 1836']
                     a                    a ['P1,293 1806 312 1835']
            Gunnarites           Gunnarites ['P1,326 1805 520 1835']
           antarcticus          antarcticus ['P1,534 1805 739 1835']
                     .                    . ['P1,534 1805 739 1835']
             Plusieurs            Plusieurs ['P1,754 1804 917 1834']
               especes              especes ['P1,932 1805 1059 1841']
              montrent             montrent ['P1,1073 1806 1233 1834']
                   des                  des ['P1,1248 1803 1302 1833']
X             af?nit?s           affinities ['P1,1318 1803 1457 1833']
                  avec                 avec ['P1,1473 1813 1548 1833']
                   des                  des ['P1,1562 1803 1617 1833']
X            ?chinides            echinides ['P1,1632 1803 1792 1833']
              d'autres             d'autres ['P1,1807 1803 1944 1833']
               regions              regions ['P1,1958 1803 2082 1841']
             australes            australes ['P1,83 1847 250 1884']
                     ,                    , ['P1,83 1847 250 1884']
X              trouv?s              trouves ['P1,261 1848 389 1877']
                    en                   en ['P1,402 1856 442 1877']
             Australie            Australie ['P1,451 1846 623 1883']
                     ,                    , ['P1,451 1846 623 1883']
                    en                   en ['P1,635 1856 675 1877']
              Nouvelle             Nouvelle ['P1,687 1846 840 1876']
X              Z?lande              Z61ande ['P1,852 1845 996 1882']
                     ,                    , ['P1,852 1845 996 1882']
                    en                   en ['P1,1008 1855 1048 1876']
               Afrique              Afrique ['P1,1057 1845 1186 1883']
                    du                   du ['P1,1199 1845 1241 1876']
               sud-est              sud-est ['P1,1254 1845 1376 1876']
                    ou                   ou ['P1,1387 1855 1427 1875']
                    en                   en ['P1,1439 1855 1479 1875']
X             Am?rique             Amerique ['P1,1488 1844 1658 1883']
                    du                   du ['P1,1670 1844 1712 1875']
                   Sud                  Sud ['P1,1725 1844 1799 1875']
                     .                    . ['P1,1725 1844 1799 1875']
         L'association        L'association ['P1,1812 1845 2032 1875']
                    de                   de ['P1,2044 1844 2082 1875']
             plusieurs            plusieurs ['P1,82 1889 241 1927']
X        holast?roides        holasteroides ['P1,254 1888 484 1919']
                    et                   et ['P1,499 1891 532 1918']
                    de                   de ['P1,544 1888 583 1918']
X                    1                    I ['P1,597 1887 844 1918']
                     '                    ' ['P1,597 1887 844 1918']
X         h?miast?rid?         hdmiastbride ['P1,597 1887 844 1918']
             Bolbaster            Bolbaster ['P1,857 1887 1023 1923']
X                    ;                    , ['P1,857 1887 1023 1923']
                   par                  par ['P1,1039 1897 1097 1925']
           comparaison          comparaison ['P1,1110 1887 1327 1925']
                   aux                  aux ['P1,1341 1897 1404 1917']
X         ?chinofaunes         echinofaunes ['P1,1417 1886 1641 1917']
X         t?thysiennes         tethysiennes ['P1,1655 1886 1882 1924']
                     ,                    , ['P1,1655 1886 1882 1924']
X          caract?rise          caractdrise ['P1,1897 1887 2082 1917']
                   des                  des ['P1,83 1931 138 1961']
        environnements       environnements ['P1,152 1931 430 1960']
                    de                   de ['P1,445 1930 483 1960']
            plateforme           plateforme ['P1,497 1930 685 1967']
              profonde             profonde ['P1,699 1929 858 1967']
                     ,                    , ['P1,699 1929 858 1967']
        circalittoraux       circalittoraux ['P1,872 1929 1105 1959']
                     a                    a ['P1,1118 1930 1137 1959']
X          ?pibathyaux          epibathyaux ['P1,1150 1929 1371 1966']
                     .                    . ['P1,1150 1929 1371 1966']
X            MOTS-CLES            MOTS-CLOS ['P1,83 2003 306 2040']
                     :                    : ['P1,83 2003 306 2040']
             ECHINIDES            ECHINIDES ['P1,319 2003 540 2044']
                     ,                    , ['P1,319 2003 540 2044']
              SENONIEN             SENONIEN ['P1,553 2002 762 2044']
                     ,                    , ['P1,553 2002 762 2044']
              ARCHIPEL             ARCHIPEL ['P1,772 2009 966 2038']
                    DE                   DE ['P1,978 2010 1029 2038']
                 JAMES                JAMES ['P1,1042 2009 1166 2038']
                  ROSS                 ROSS ['P1,1179 2009 1282 2044']
                     ,                    , ['P1,1179 2009 1282 2044']
X          ANTARCTIQUE          ANTARCTIQVE ['P1,1291 2009 1573 2044']
                     .                    . ['P1,1291 2009 1573 2044']
          INTRODUCTION         INTRODUCTION ['P1,10 2210 810 2285']
X            Echinoids            Echlnolds ['P1,10 2389 413 2464']
X                 form               fol'In ['P1,441 2390 634 2464']
X                    a                    R ['P1,664 2414 710 2464']
X                small                8II1R ['P1,738 2390 987 2479']
X                    ,                  11, ['P1,738 2390 987 2479']
                   but                  but ['P1,1013 2390 1153 2462']
           nonetheless          nonetheless ['P1,1181 2390 1672 2462']
X            important            lnlpol'ta ['P1,1700 2390 2140 2479']
X                    ,                  nt, ['P1,1700 2390 2140 2479']
             component            component ['P1,10 2496 457 2581']
                    of                   of ['P1,505 2490 590 2561']
                   the                  the ['P1,625 2488 758 2561']
              Mesozoic             Mesozoic ['P1,809 2488 1182 2562']
                   and                  and ['P1,1232 2488 1386 2562']
              Cenozoic             Cenozoic ['P1,1436 2487 1800 2561']
                marine               marine ['P1,1846 2487 2140 2559']
X         invertebrate         lnveltebrate ['P1,8 2589 519 2663']
X               faunas             fRllI1Rs ['P1,549 2589 827 2661']
                    of                   of ['P1,857 2586 940 2661']
X           Antarctica           AIltax'ctl ['P1,950 2586 1415 2661']
X                    .                  cR. ['P1,950 2586 1415 2661']
                     A                    A ['P1,1436 2587 1503 2659']
X                short                slmrt ['P1,1529 2587 1743 2661']
                review               review ['P1,1768 2589 2042 2661']
X                    ?                    o ['P1,2063 2587 2153 2659']
X                   of                    f ['P1,2063 2587 2153 2659']
                   all                  all ['P1,10 2688 111 2760']
