32	Hyatt	Hyatt	NNP	PERSON	Hyatt	conj_and	6	14	['P1,1488 820 1586 851']
33	,	,	,	O	,	_	0	14	['P1,1488 820 1586 851']
34	Agassiceras	Agassiceras	NNP	PERSON	Agassiceras	nn	35	14	['P1,1598 820 1780 851']
35	Hyatt	Hyatt	NNP	PERSON	Hyatt	conj_and	6	14	['P1,1794 820 1893 851']
36	,	,	,	O	,	_	0	14	['P1,1794 820 1893 851']
37	Euagassiceras	Euagassiceras	NNP	PERSON	Euagassiceras	nn	38	14	['P1,278 860 496 892']
38	Spath	Spath	NNP	PERSON	Spath	conj_and	6	14	['P1,505 860 602 892']
39	,	,	,	O	,	_	0	14	['P1,505 860 602 892']
40	and	and	CC	O	and	_	0	14	['P1,611 861 666 886']
41	Arnioceras	Arnioceras	NNP	PERSON	Arnioceras	nn	42	14	['P1,675 860 839 886']
42	Hyatt	Hyatt	NNP	PERSON	Hyatt	conj_and	6	14	['P1,850 861 938 892']
43	thus	thus	RB	O	thus	advmod	44	14	['P1,948 861 1013 886']
44	indicate	indicate	VBP	O	indicate	_	0	14	['P1,1024 860 1142 886']
45	the	the	DT	O	the	det	46	14	['P1,1154 861 1201 886']
46	presence	presence	NN	O	presence	nsubj	49	14	['P1,1212 869 1341 891']
47	of	of	IN	O	of	_	0	14	['P1,1352 860 1382 885']
48	beds	beds	NNS	O	bed	prep_of	46	14	['P1,1388 860 1456 886']
49	equivalent	equivalent	JJ	O	equivalent	xcomp	44	14	['P1,1466 860 1629 891']
50	to	to	TO	O	to	_	0	14	['P1,1639 863 1667 886']
51	the	the	DT	O	the	det	60	14	['P1,1678 860 1725 886']
52	Planorbis	Planorbis	NNP	O	Planorbis	nn	60	14	['P1,1736 860 1892 889']
53	,	,	,	O	,	_	0	14	['P1,1736 860 1892 889']
54	Liasicus	Liasicus	NNP	O	Liasicus	appos	60	14	['P1,279 899 413 930']
55	,	,	,	O	,	_	0	14	['P1,279 899 413 930']
56	Angulata	Angulata	NNP	LOCATION	Angulata	appos	60	14	['P1,428 899 580 933']
57	,	,	,	O	,	_	0	14	['P1,428 899 580 933']
58	Bucklandi	Bucklandi	NNP	LOCATION	Bucklandi	appos	60	14	['P1,594 900 757 931']
59	,	,	,	O	,	_	0	14	['P1,594 900 757 931']
60	Semicostatum	Semicostatum	NNP	O	Semicostatum	prep_to	49	14	['P1,772 899 995 931']
61	,	,	,	O	,	_	0	14	['P1,772 899 995 931']
62	and	and	CC	O	and	_	0	14	['P1,1010 900 1064 926']
63	Turneri	Turneri	NNP	PERSON	Turneri	nn	64	14	['P1,1080 900 1195 926']
64	zones	zones	NNS	O	zone	conj_and	60	14	['P1,1211 908 1292 926']
65	of	of	IN	O	of	_	0	14	['P1,1307 899 1337 925']
66	the	the	DT	O	the	det	70	14	['P1,1348 899 1395 926']
67	standard	standard	JJ	O	standard	amod	70	14	['P1,1411 899 1545 925']
68	international	international	JJ	O	international	amod	70	14	['P1,1562 899 1763 926']
69	chronostratigraphic	chrono-stratigraphic	JJ	O	chronostratigraphic	amod	70	14	['P1,1779 899 1892 925', 'P1,280 941 480 973']
70	scale	scale	NN	O	scale	prep_of	64	14	['P1,495 940 578 967']
71	.	.	.	O	.	_	0	14	['P1,495 940 578 967']

