               trophic              trophic ['P1,1074 1690 1192 1724']
           structuring          structuring ['P1,1204 1691 1387 1723']
                   was                  was ['P1,1399 1699 1458 1718']
            relatively           relatively ['P1,1469 1690 1620 1723']
                simple               simple ['P1,1633 1691 1739 1723']
                   and                  and ['P1,1753 1691 1811 1718']
             dominated            dominated ['P1,309 1732 486 1759']
                    by                   by ['P1,499 1732 538 1764']
             low-level            low-level ['P1,552 1732 706 1764']
                     ,                    , ['P1,552 1732 706 1764']
    suspension-feeding   suspension-feeding ['P1,720 1732 1032 1765']
                groups               groups ['P1,1044 1739 1154 1765']
                     (                    ( ['P1,1166 1732 1290 1765']
                mainly               mainly ['P1,1166 1732 1290 1765']
           brachiopods          brachiopods ['P1,1305 1732 1520 1766']
                     )                    ) ['P1,1305 1732 1520 1766']
            throughout           throughout ['P1,1534 1733 1729 1765']
                     .                    . ['P1,1534 1733 1729 1765']
                     A                    A ['P1,1745 1733 1772 1759']
                  more                 more ['P1,309 1781 392 1800']
               complex              complex ['P1,405 1773 546 1806']
             structure            structure ['P1,559 1775 708 1800']
             prevailed            prevailed ['P1,722 1773 871 1806']
                    in                   in ['P1,883 1773 912 1799']
              offshore             offshore ['P1,926 1772 1064 1799']
          associations         associations ['P1,1077 1772 1272 1799']
                  with                 with ['P1,1284 1772 1357 1799']
              infaunal             infaunal ['P1,1370 1772 1503 1800']
       deposit-feeding      deposit-feeding ['P1,1517 1773 1769 1806']
              bivalves             bivalves ['P1,308 1814 443 1848']
                     ,                    , ['P1,308 1814 443 1848']
             epifaunal            epifaunal ['P1,458 1814 610 1847']
       deposit-feeding      deposit-feeding ['P1,625 1813 878 1847']
                    or                   or ['P1,889 1821 922 1840']
              browsing             browsing ['P1,937 1814 1085 1846']
            gastropods           gastropods ['P1,1097 1814 1273 1846']
                   and                  and ['P1,1287 1814 1345 1841']
            trilobites           trilobites ['P1,1358 1813 1506 1841']
                    as                   as ['P1,1519 1822 1550 1841']
                  well                 well ['P1,1563 1813 1626 1841']
                    as                   as ['P1,1641 1823 1671 1841']
                   the                  the ['P1,1684 1814 1734 1841']
            suspension           suspension ['P1,308 1856 485 1888']
               feeders              feeders ['P1,500 1855 623 1883']
                     .                    . ['P1,500 1855 623 1883']
             Nearshore            Nearshore ['P1,360 1896 526 1923']
           communities          communities ['P1,538 1896 752 1922']
                   are                  are ['P1,765 1903 813 1922']
                viewed               viewed ['P1,824 1896 939 1922']
                    in                   in ['P1,952 1896 981 1922']
                 terms                terms ['P1,995 1897 1087 1922']
                    of                   of ['P1,1099 1895 1133 1921']
            succession           succession ['P1,1144 1896 1314 1922']
                 along                along ['P1,1327 1896 1415 1928']
                     a                    a ['P1,1427 1905 1443 1923']
              proximal             proximal ['P1,1454 1896 1603 1928']
                    to                   to ['P1,1617 1898 1649 1922']
                distal               distal ['P1,1663 1896 1749 1923']
              gradient             gradient ['P1,309 1938 442 1971']
                    of                   of ['P1,456 1937 492 1964']
            decreasing           decreasing ['P1,503 1938 674 1970']
                stress               stress ['P1,685 1939 781 1964']
                     .                    . ['P1,685 1939 781 1964']
                    It                   It ['P1,797 1937 823 1964']
                    is                   is ['P1,836 1938 860 1964']
             suggested            suggested ['P1,871 1938 1027 1970']
                  that                 that ['P1,1040 1937 1105 1964']
             community            community ['P1,1119 1938 1309 1969']
                     1                    1 ['P1,1325 1939 1340 1965']
                     (                    ( ['P1,1356 1937 1563 1971']
           Bancroftina          Bancroftina ['P1,1356 1937 1563 1971']
               robusta              robusta ['P1,1576 1938 1698 1965']
           Association          Association ['P1,307 1978 522 2011']
                     )                    ) ['P1,307 1978 522 2011']
